ORIGEM,DESTINO,PESO TOTAL,CAMINHÕES,DISTÂNCIA TOTAL,PREÇO TOTAL
SAO PAULO,BELEM,10000.0,{'GRANDE': 1},2933,80481.52
SALVADOR,BELO HORIZONTE,1000.0,{'PEQUENO': 1},1372,6681.64
SAO PAULO,BELEM,5600.0,"{'PEQUENO': 2, 'MEDIO': 1}",2933,63528.78
SAO PAULO,BELEM,5600.0,"{'PEQUENO': 2, 'MEDIO': 1}",2933,63528.78
SAO PAULO,MACEIO,124000.0,"{'MEDIO': 1, 'GRANDE': 12}",2453,836963.6000000001
SAO PAULO,MANAUS,124000.0,"{'MEDIO': 1, 'GRANDE': 12}",3971,1354905.2000000002
SAO PAULO,SALVADOR,2000.0,{'PEQUENO': 2},1962,19109.88
SAO PAULO,SALVADOR,2000.0,{'PEQUENO': 2},1962,19109.88
SAO PAULO,BELEM,4000.0,{'MEDIO': 1},2933,34961.36
SAO PAULO,BELEM,1000.0,{'PEQUENO': 1},2933,14283.710000000001
